LAC,CELL_ID,LNG,LAT
3459,75202135,30.481258,50.517004
20510,1583,47.94639587,47.94639587
20510,1827,47.94639587,47.94639587
20510,543,47.9889679,47.9889679
20510,1572,47.94639587,47.94639587
20510,1312,47.99034119,47.99034119
20510,1821,47.94639587,47.94639587
20510,1647,47.94776917,47.94776917
20510,153,47.94639587,47.94639587
20510,1442,47.94639587,47.94639587
20510,621,47.98622131,47.98622131
20510,3285,47.94639587,47.94639587
10102,29017,51.735992,51.735992
51404,50248,49.955521,49.955521
51402,485,49.839478,49.839478
51401,215,49.844971,49.844971
51402,487,49.838242,49.838242
51402,23,50.017524,50.017524
51402,481,49.839478,49.839478
51402,21,50.017524,50.017524
51402,1432,49.84703064,49.84703064
51402,15,49.84703064,49.84703064
51402,1431,49.84703064,49.84703064
51402,975,49.84703064,49.84703064
51402,991,49.84703064,49.84703064
51402,11,49.84703064,49.84703064
51402,1433,49.84703064,49.84703064
51402,976,49.84703064,49.84703064
51402,977,49.84703064,49.84703064
51402,1422,49.84703064,49.84703064
51402,302,49.84703064,49.84703064
51402,1591,50.019611,50.019611
51404,16116,50.046274,50.046274
51404,16112,50.066071,50.066071
51404,16115,50.076828,50.076828
51404,50226,50.046274,50.046274
51404,16117,50.076828,50.076828
51404,50222,50.066071,50.066071
51404,50225,50.076828,50.076828
51404,50215,50.066071,50.066071
12504,50015,50.41145325,50.41145325
12504,50016,50.396808,50.396808
21708,50111,49.6698761,49.6698761
21708,50112,49.6698761,49.6698761
21708,50105,49.669901,49.669901
21708,50106,49.6698761,49.6698761
21707,282,49.567338,49.567338
21707,222,49.565506,49.565506
21707,281,49.573746,49.573746
21707,273,49.562302,49.562302
21707,271,49.559326,49.559326
21707,272,49.560929,49.560929
21707,116,49.560013,49.560013
21707,50156,49.580623,49.580623
21707,302,49.561386,49.561386
21707,303,49.562759,49.562759
21707,471,49.564409,49.564409
21707,237,49.572373,49.572373
21707,476,49.562772,49.562772
21707,261,49.571686,49.571686
20806,2401,50.005875,50.005875
20806,1622,50.004044,50.004044
20806,2465,50.000565,50.000565
20806,2403,50.006324,50.006324
20806,2402,50.005932,50.005932
20806,121,50.004959,50.004959
20806,217,50.00495911,50.00495911
20806,1623,50.006027,50.006027
20806,2461,50.000839,50.000839
20806,216,50.00495911,50.00495911
20813,701,49.93629456,49.93629456
20813,92,49.93629456,49.93629456
20813,703,49.93629456,49.93629456
20813,93,49.93629456,49.93629456
20813,3672,49.93629456,49.93629456
20804,1363,49.968338,49.968338
20804,1362,49.969803,49.969803
20804,1641,49.96376,49.96376
20804,1551,49.96376038,49.96376038
20804,1553,49.96376038,49.96376038
20804,1541,49.96376038,49.96376038
20804,1361,49.96788,49.96788
20804,1523,49.963761,49.963761
21707,50191,49.729617,49.729617
20804,50017,49.75731,49.75731
21708,50032,50.185208,50.185208
21708,25055,50.144594,50.144594
21708,50057,50.123088,50.123088
21708,25112,50.17524719,50.17524719
21708,25056,50.146426,50.146426
21708,50016,50.149867,50.149867
21708,1597,50.165981,50.165981
10915,50545,50.22193909,50.22193909
10207,27526,50.22193909,50.22193909
10915,20526,50.36338806,50.36338806
10915,20527,50.36338806,50.36338806
10915,20715,50.36338806,50.36338806
10915,20525,50.36338806,50.36338806
10919,7037,50.419753,50.419753
10919,947,50.421017,50.421017
10919,953,50.418364,50.418364
10917,963,50.424019,50.424019
10919,946,50.422643,50.422643
10919,7035,50.419712,50.419712
10909,233,50.464286,50.464286
10909,5011,50.454025,50.454025
10909,5012,50.454025,50.454025
10909,231,50.454535,50.454535
10909,3515,50.454025,50.454025
10909,187,50.451969,50.451969
10909,3511,50.452973,50.452973
10909,183,50.45311,50.45311
10909,3513,50.453842,50.453842
10909,2241,50.454025,50.454025
10909,3516,50.45402527,50.45402527
10909,685,50.446404,50.446404
10909,5013,50.45402527,50.45402527
10909,232,50.452492,50.452492
10909,791,50.442352,50.442352
10909,792,50.442352,50.442352
10909,793,50.443039,50.443039
10909,196,50.440292,50.440292
10909,186,50.448396,50.448396
10909,4293,50.440979,50.440979
10909,195,50.440292,50.440292
10909,182,50.446472,50.446472
10909,3243,50.440292,50.440292
10909,4952,50.44075,50.44075
10909,4951,50.440979,50.440979
10909,4953,50.44029236,50.44029236
10917,3617,50.434952,50.434952
10909,222,50.440979,50.440979
10917,7056,50.432306,50.432306
10917,7067,50.423162,50.423162
10917,3615,50.430298,50.430298
